Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,04h 15m,20:00,4.0,INR 298,14 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.4,INR 298,17 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),13:00,04h 00m,17:00,4.7,INR 389.13,19 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),13:10,04h 40m,17:50,3.5,INR 350,30 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,4.6,INR 432.06,25 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:00,04h 15m,19:15,4.1,324,30 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.6,INR 389.13,16 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,05h 30m,03:45,3.6,450,23 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Maya Travels,Tata A/C Seater (2+2),13:00,04h 30m,17:30,1.6,INR 300,37 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,2.9,INR 400,7 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04h 20m,04:00,1.7,INR 500,30 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),13:00,04h 10m,17:10,4.2,INR 380.95,9 Seats available
